,AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
0,102.0,Hồ Chí Minh,pm25,5.0,22.0,83.0,11.0,6.0,1009.0,45.0,102.0,4.6,27.0,3.6,2021-01-21 19:00:00,Unhealthy for sensitive groups,10.782978,106.700711
1,221.0,Hà Nội,aqi,5.0,22.0,77.0,11.0,6.0,1015.0,45.0,55.0,4.6,18.0,1.5,2021-01-21 20:00:00,Very unhealthy,21.0811211,105.8180306
2,281.0,Hà Nội,pm25,0.3,22.0,77.0,8.7,0.9,1015.0,45.0,281.0,2.1,18.0,1.5,2021-01-21 20:00:00,Very unhealthy,21.0215063,105.8188748
3,36.0,Gia Lai,pm25,3.0,22.0,60.2,6.0,9.0,923.7,29.0,36.0,1.0,24.3,1.0,2021-01-21 20:00:00,Good,13.998599,107.996482
4,68.0,Thừa Thiên Huế,pm25,2.0,22.0,88.0,11.0,6.0,1015.0,52.0,68.0,4.6,21.0,1.0,2021-01-21 19:00:00,Moderate,16.46226,107.596351
5,217.0,Hà Nội,pm25,12.0,22.0,77.0,65.0,1.0,1015.0,194.0,217.0,2.0,18.0,1.5,2021-01-21 19:00:00,Very unhealthy,21.04975,105.74187
6,195.0,Bắc Ninh,pm25,8.0,22.0,77.0,17.0,23.0,1015.0,119.0,195.0,3.0,18.0,1.5,2021-01-21 20:00:00,Unhealthy,21.1137452,105.9268934
7,168.0,Lào Cai,pm25,37.0,22.0,70.3,2.0,1.0,1003.2,65.0,168.0,17.0,18.5,1.0,2021-01-21 20:00:00,Unhealthy,22.3221386,104.1214227
8,48.0,Hạ Long,pm25,5.0,22.0,95.7,11.0,39.0,1001.0,25.0,48.0,4.6,17.0,2.0,2021-01-21 19:00:00,Good,20.9416,107.1158
9,18.0,Quảng Ninh,pm25,5.0,22.0,97.5,5.0,6.0,1002.0,12.0,18.0,3.0,15.4,1.0,2021-01-21 05:00:00,Good,21.0357507,106.7641068
10,251.0,Bắc Ninh,pm25,7.0,22.0,77.0,52.0,2.0,1015.0,155.0,251.0,6.0,18.0,1.5,2021-01-21 20:00:00,Very unhealthy,21.1232473,106.2883295
11,315.0,Bắc Ninh,pm25,7.0,22.0,77.0,48.0,6.0,1015.0,205.0,315.0,12.0,18.0,1.5,2021-01-21 20:00:00,Hazardous,21.0272212,106.0342099
12,224.0,Hà Nội,pm25,61.0,22.0,79.5,80.0,6.0,1015.5,185.0,224.0,4.6,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.03982,105.84726
13,177.0,Hà Nội,pm25,20.0,22.0,79.5,42.0,6.0,1015.5,112.0,177.0,4.6,18.0,1.2,2021-01-21 19:00:00,Unhealthy,20.98832,105.854897
14,179.0,Hà Nội,pm25,14.0,22.0,79.5,47.0,6.0,1015.5,122.0,179.0,4.6,18.0,1.2,2021-01-21 19:00:00,Unhealthy,21.01994,105.77056
15,214.0,Hà Nội,pm25,19.0,22.0,77.0,36.0,1.0,1015.0,149.0,214.0,1.0,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.01525,105.80013
18,213.0,Hà Nội,pm25,31.0,22.0,79.5,34.0,6.0,1015.5,175.0,213.0,4.6,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.02022,105.81232
19,166.0,Hà Nội,pm25,13.0,22.0,79.5,33.0,6.0,1015.5,105.0,166.0,4.6,18.0,1.2,2021-01-21 19:00:00,Unhealthy,21.00577,105.74842
20,221.0,Hà Nội,pm25,38.0,22.0,79.5,31.0,6.0,1015.5,177.0,221.0,4.6,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.05121,105.78232
21,191.0,Hà Nội,pm25,17.0,22.0,82.0,11.0,6.0,1016.0,130.0,191.0,4.6,18.0,1.0,2021-01-21 20:00:00,Unhealthy,21.0072,105.83572
22,213.0,Cao Bằng,pm25,5.0,22.0,77.8,11.0,1.0,986.3,204.0,213.0,2.0,17.2,2.0,2021-01-21 21:00:00,Very unhealthy,22.6782,106.245
23,122.0,Hồ Chí Minh,pm25,5.0,22.0,56.5,11.0,6.0,1008.5,45.0,122.0,4.6,30.5,2.5,2021-01-22 13:00:00,Unhealthy for sensitive groups,10.782978,106.700711
24,192.0,Hà Nội,aqi,5.0,22.0,53.0,11.0,6.0,1015.0,45.0,55.0,4.6,22.0,2.0,2021-01-22 13:00:00,Unhealthy,21.0811211,105.8180306
25,189.0,Hà Nội,pm25,0.1,22.0,51.0,8.7,4.9,1014.5,45.0,189.0,3.1,22.5,2.3,2021-01-22 13:00:00,Unhealthy,21.0215063,105.8188748
26,18.0,Gia Lai,pm10,4.0,22.0,64.3,13.0,20.0,926.2,18.0,17.0,1.0,23.0,2.0,2021-01-22 13:00:00,Good,13.998599,107.996482
28,189.0,Hà Nội,pm25,12.0,22.0,58.0,42.0,1.0,1016.0,156.0,189.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.04975,105.74187
29,164.0,Bắc Ninh,pm25,5.0,22.0,53.0,14.0,23.0,1015.0,88.0,164.0,17.0,22.0,2.0,2021-01-22 13:00:00,Unhealthy,21.1137452,105.9268934
30,131.0,Lào Cai,pm25,38.0,22.0,93.2,3.0,1.0,1007.1,24.0,131.0,22.0,16.7,1.0,2021-01-22 13:00:00,Unhealthy for sensitive groups,22.3221386,104.1214227
31,49.0,Hạ Long,pm25,5.0,22.0,86.2,14.0,38.0,1001.3,26.0,49.0,4.6,21.3,1.0,2021-01-22 13:00:00,Good,20.9416,107.1158
32,38.0,Quảng Ninh,pm25,6.0,22.0,86.2,14.0,6.0,1001.3,24.0,38.0,24.0,21.3,1.0,2021-01-22 12:00:00,Good,21.0357507,106.7641068
33,235.0,Bắc Ninh,pm25,5.0,22.0,53.0,25.0,30.0,1015.0,138.0,235.0,19.0,22.0,2.0,2021-01-22 13:00:00,Very unhealthy,21.1232473,106.2883295
34,252.0,Bắc Ninh,pm25,2.0,22.0,53.0,15.0,6.0,1015.0,157.0,252.0,15.0,22.0,2.0,2021-01-22 13:00:00,Very unhealthy,21.0272212,106.0342099
35,191.0,Hà Nội,pm25,48.0,22.0,58.0,47.0,6.0,1016.0,157.0,191.0,4.6,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.03982,105.84726
36,161.0,Hà Nội,pm25,9.0,22.0,53.0,31.0,6.0,1015.0,90.0,161.0,4.6,22.0,2.0,2021-01-22 12:00:00,Unhealthy,20.98832,105.854897
37,164.0,Hà Nội,pm25,7.0,22.0,58.0,30.0,6.0,1016.0,114.0,164.0,4.6,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.01994,105.77056
38,183.0,Hà Nội,pm25,9.0,22.0,58.0,20.0,2.0,1016.0,126.0,183.0,1.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.01525,105.80013
41,186.0,Hà Nội,pm25,14.0,22.0,58.0,25.0,6.0,1016.0,151.0,186.0,4.6,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.02022,105.81232
42,158.0,Hà Nội,pm25,7.0,22.0,53.0,20.0,6.0,1015.0,94.0,158.0,4.6,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.00577,105.74842
43,188.0,Hà Nội,pm25,17.0,22.0,53.0,37.0,6.0,1015.0,152.0,188.0,4.6,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.05121,105.78232
44,159.0,Hà Nội,pm25,9.0,22.0,58.0,11.0,6.0,1016.0,95.0,159.0,4.6,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.0072,105.83572
45,212.0,Cao Bằng,pm10,5.0,22.0,83.6,11.0,1.0,989.4,212.0,208.0,2.0,17.1,1.0,2021-01-22 13:00:00,Very unhealthy,22.6782,106.245
46,114.0,Hồ Chí Minh,pm25,5.0,22.0,49.0,11.0,6.0,1007.0,45.0,114.0,4.6,32.0,1.5,2021-01-23 15:00:00,Unhealthy for sensitive groups,10.782978,106.700711
47,180.0,Hà Nội,aqi,5.0,22.0,49.0,11.0,6.0,1013.0,45.0,55.0,4.6,23.0,3.0,2021-01-23 14:00:00,Unhealthy,21.0811211,105.8180306
48,189.0,Hà Nội,pm25,0.2,22.0,49.0,8.7,3.7,1013.0,45.0,189.0,4.6,23.0,3.0,2021-01-23 13:00:00,Unhealthy,21.0215063,105.8188748
49,26.0,Gia Lai,pm25,4.0,22.0,62.1,12.0,20.0,924.2,25.0,26.0,1.0,25.8,2.0,2021-01-23 15:00:00,Good,13.998599,107.996482
51,169.0,Hà Nội,pm25,11.0,22.0,49.0,28.0,2.0,1013.5,123.0,169.0,2.0,23.0,3.3,2021-01-23 13:00:00,Unhealthy,21.04975,105.74187
52,176.0,Bắc Ninh,pm25,9.0,22.0,68.0,16.0,24.0,1017.0,102.0,176.0,4.0,19.0,0.5,2021-01-23 11:00:00,Unhealthy,21.1137452,105.9268934
